Date,Open,High,Low,Close,Adj Close,Volume
4/15/19,376.700012,377.899994,373.679993,375.459991,366.666107,3822100
4/16/19,376.51001,384.640015,375.029999,381.720001,372.77951,7083800
4/17/19,384.100006,384.190002,377.480011,377.519989,368.677887,4424400
4/18/19,377.519989,382.170013,377.519989,380.070007,371.168182,4703100
4/22/19,375.690002,378.950012,374.899994,375.170013,366.382965,4147700
4/23/19,375.540009,376.869995,372.609985,374.019989,365.259827,4894500
4/24/19,377.890015,381.149994,373.660004,375.459991,366.666107,9855100
4/25/19,376.01001,384.799988,372.76001,382.799988,373.834229,6615000
4/26/19,383.890015,384,378.140015,380.790009,371.871277,4259600
4/29/19,378.48999,385.299988,376.76001,379.049988,370.172058,5457300
4/30/19,379.5,381.140015,375.049988,377.690002,368.843903,3732800
5/1/19,378.529999,381.200012,376.380005,376.799988,367.974762,2765600
5/2/19,375.5,377.649994,373.25,375.799988,366.998169,2438800
5/3/19,376.079987,377.899994,374.220001,376.459991,367.6427,2953800
5/6/19,367.880005,372.480011,365.630005,371.600006,362.896545,4747600
5/7/19,366.329987,367.709991,355.019989,357.230011,348.863098,9740300
5/8/19,357.769989,361.519989,353.329987,359.75,351.324066,6030000
5/9/19,354.76001,355.649994,347.470001,354.130005,347.822571,6075200
5/10/19,351.869995,355.540009,347.549988,354.670013,348.352966,4574100
5/13/19,344.51001,346.630005,337,337.369995,331.361084,7757800
5/14/19,339.899994,346.100006,337.230011,343.040009,336.930115,4747800
5/15/19,339.799988,348.799988,337.640015,345.640015,339.483826,4810000
5/16/19,348.640015,356.5,345.820007,353.809998,347.50827,6036500
5/17/19,351.5,359.98999,351.160004,355.019989,348.696716,5282900
5/20/19,353,355.940002,350.529999,352.790009,346.50647,3219900
5/21/19,358.029999,360.769989,354.880005,358.75,352.360291,4022600
5/22/19,357.220001,357.570007,351.75,352.779999,346.496613,3841400
5/23/19,345.920013,351.470001,341.149994,350.549988,344.306335,5305400
5/24/19,355,361.399994,353,354.899994,348.578857,5387500
5/28/19,355.290009,359.309998,354.880005,354.880005,348.559235,3504300
5/29/19,352.589996,352.790009,346.049988,348.799988,342.587494,4160500
5/30/19,350,351.920013,347.940002,349.869995,343.638428,2183900
5/31/19,345.850006,345.850006,341.359985,341.609985,335.525574,3217600
6/3/19,338.200012,339.109985,330.670013,338.890015,332.854034,5148000
6/4/19,342.570007,346.410004,340.119995,344.619995,338.481964,3592300
6/5/19,346.220001,353.25,332.48999,348.75,342.538391,3188400
6/6/19,348.179993,351.640015,345.579987,350.640015,344.394775,2582300
6/7/19,352.299988,355.279999,352.299988,353.700012,347.400269,2470700
6/10/19,356,357.399994,353.549988,353.799988,347.498444,2560800
6/11/19,355.420013,355.470001,348.130005,349.329987,343.108063,2702700
6/12/19,349,349.269989,342.799988,347.029999,340.84903,2737000
6/13/19,347.25,349.059998,344.100006,348.859985,342.646423,2621300
6/14/19,348,349.170013,345.890015,347.160004,340.976715,2258400
6/17/19,348.619995,356.049988,347.049988,354.899994,348.578857,3746400
6/18/19,357.609985,374.649994,357.600006,373.959991,367.299377,9199200
6/19/19,375.399994,379.309998,368.350006,368.559998,361.995575,5716000
6/20/19,373,375.790009,368.959991,374.880005,368.203003,3794500
6/21/19,374.390015,376.109985,371.720001,371.839996,365.217133,4923700
6/24/19,372.950012,375.48999,372.100006,373.98999,367.328827,2323200
6/25/19,374.75,375.25,368.029999,369.320007,362.742004,3005400
6/26/19,371.019989,378.980011,370,374.940002,368.261902,4542000
6/27/19,367.540009,369.929993,362.350006,364.019989,357.536407,8980000
6/28/19,363.920013,366.230011,361.570007,364.01001,357.526581,4737100
7/1/19,364.880005,365.230011,353.320007,356.459991,350.111084,6409600
7/2/19,355.630005,356.779999,352.690002,354.160004,347.852051,3774700
7/3/19,354.5,354.850006,352.26001,354.470001,348.156494,2164900
7/5/19,354,357.25,351.429993,355.859985,349.521729,3208200
7/8/19,350.410004,352.959991,349.399994,351.119995,344.86618,3262300
7/9/19,349.049988,353.850006,347.899994,353.089996,346.801117,4828200
7/10/19,354.48999,356.519989,351.25,352.299988,346.025146,2946700
7/11/19,352.619995,359.26001,350.700012,359,352.605835,5059200
7/12/19,360,365.450012,358.140015,365.329987,358.82309,3592800
7/15/19,360.5,362.850006,359.019989,361.609985,355.169342,4814600
7/16/19,361.26001,365.350006,361.200012,362.75,356.289032,2960400
7/17/19,362.75,369.75,362,369.519989,362.938477,4010000
7/18/19,367.600006,368.450012,359.75,361.109985,354.678223,4615200
7/19/19,370.670013,378.399994,368.5,377.359985,370.638794,9504000
7/22/19,376.940002,382.480011,371.890015,373.420013,366.769043,4265100
7/23/19,374.269989,376.429993,370.679993,373.070007,366.425262,3354900
7/24/19,370.279999,371.359985,360.029999,361.429993,354.992554,7447900
7/25/19,356.179993,357.690002,345.709991,348.089996,341.890167,9663700
7/26/19,346.200012,348.429993,342,345,338.855194,4441100
7/29/19,344.98999,346.079987,339.109985,340.209991,334.150482,4116600
7/30/19,339.839996,347.48999,336.559998,347.459991,341.271362,4528000
7/31/19,348.48999,351.290009,341.049988,341.179993,335.10321,5219700
8/1/19,341.910004,344.290009,333,334.290009,328.335938,6465300
